date,field_1,field_2,field_3,field_4,field_5,field_6
2020-01-02,700.71,5048,Category_E,FAILED,477.87,100
2020-01-03,800.86,1755,Category_D,FAILED,282.66,5694
2020-01-04,557.77,8747,Category_A,PENDING,127.08,3740
2020-01-05,691.41,3036,Category_A,PENDING,814.7,6557
2020-01-06,863.16,2711,Category_B,FAILED,65.56,8469
2020-01-07,278.44,9130,Category_C,COMPLETED,677.74,3279
2020-01-08,647.25,7819,Category_C,ACTIVE,966.05,8440
2020-01-09,286.01,4398,Category_E,PENDING,257.02,6762
2020-01-10,260.99,9841,Category_E,ACTIVE,150.95,6302
2020-01-02,95.12,8720,Category_E,FAILED,820.49,8663
2020-01-03,667.11,7223,Category_E,FAILED,137.61,2354
2020-01-04,314.34,2734,Category_C,FAILED,669.89,8570
2020-01-05,436.98,1618,Category_A,FAILED,573.3,7040
2020-01-06,50.23,4833,Category_E,PENDING,154.15,905
2020-01-07,871.87,8837,Category_E,FAILED,433.47,7980
2020-01-08,318.55,5336,Category_D,FAILED,226.28,4904
2020-01-09,206.13,3033,Category_C,COMPLETED,346.79,7870
2020-01-10,886.43,3877,Category_E,ACTIVE,65.54,1502
2020-01-02,64.27,8224,Category_E,PENDING,901.66,3501
2020-01-03,816.32,8271,Category_D,PENDING,212.97,9684
2020-01-04,243.84,3573,Category_B,COMPLETED,521.13,7811
2020-01-05,609.88,2633,Category_D,FAILED,524.02,890
2020-01-06,883.16,6579,Category_E,ACTIVE,534.93,4031
2020-01-07,566.12,7231,Category_B,PENDING,944.3,6167
2020-01-08,952.36,5713,Category_E,PENDING,336.1,7904
2020-01-09,669.58,5639,Category_A,COMPLETED,693.23,5981
2020-01-10,739.79,6532,Category_E,ACTIVE,415.88,388
2020-01-02,681.11,8500,Category_A,PENDING,657.8,4925
2020-01-03,586.36,7509,Category_B,ACTIVE,542.02,951
2020-01-04,486.96,4463,Category_B,ACTIVE,366.52,9001
2020-01-05,812.29,1529,Category_E,COMPLETED,530.41,9395
2020-01-06,968.11,9843,Category_C,PENDING,604.95,6593
2020-01-07,26.92,683,Category_B,ACTIVE,527.62,5495
2020-01-08,154.75,1037,Category_D,PENDING,389.11,8512
2020-01-09,855.36,270,Category_C,COMPLETED,897.74,2545
2020-01-10,214.38,6411,Category_A,COMPLETED,645.23,5698
2020-01-02,380.8,6285,Category_E,PENDING,222.62,8709
2020-01-03,702.21,8801,Category_C,FAILED,982.58,6252
2020-01-04,287.39,4453,Category_E,COMPLETED,740.82,9614
2020-01-05,657.18,8435,Category_C,FAILED,658.96,7956
2020-01-06,759.35,812,Category_E,ACTIVE,412.84,3710
2020-01-07,203.86,4271,Category_C,PENDING,236.43,8968
2020-01-08,726.32,7766,Category_C,PENDING,549.91,4730
2020-01-09,579.95,691,Category_C,ACTIVE,849.51,2581
2020-01-10,585.62,6867,Category_E,ACTIVE,381.45,597
2020-01-02,794.27,6096,Category_B,PENDING,368.73,4523
2020-01-03,979.99,8185,Category_E,FAILED,464.18,8709
2020-01-04,91.83,4166,Category_C,COMPLETED,512.62,8650
2020-01-05,167.04,7883,Category_D,COMPLETED,712.57,7903
2020-01-06,103.45,4926,Category_D,COMPLETED,718.19,628
2020-01-07,48.98,4381,Category_A,COMPLETED,680.41,8944
2020-01-08,810.89,3048,Category_B,FAILED,271.51,4745
2020-01-09,361.33,8397,Category_B,PENDING,81.19,4360
2020-01-10,242.61,3925,Category_D,PENDING,831.14,5945
2020-01-02,338.62,169,Category_A,PENDING,234.87,1628
2020-01-03,569.36,3364,Category_A,PENDING,322.98,2054
2020-01-04,753.28,7308,Category_B,COMPLETED,263.61,4529
2020-01-05,876.11,7891,Category_E,COMPLETED,183.41,8889
2020-01-06,970.67,6051,Category_D,COMPLETED,693.45,6691
2020-01-07,299.96,6532,Category_E,PENDING,515.05,9998
2020-01-08,337.56,9673,Category_C,COMPLETED,973.61,9558
2020-01-09,266.02,1494,Category_A,ACTIVE,127.35,6398
2020-01-10,588.38,7979,Category_B,COMPLETED,829.34,4697
2020-01-02,246.51,6549,Category_E,PENDING,52.02,2698
2020-01-03,949.08,878,Category_A,ACTIVE,696.13,8412
2020-01-04,55.23,3271,Category_E,COMPLETED,590.09,4938
2020-01-05,925.92,1409,Category_C,PENDING,383.81,5435
2020-01-06,875.35,5417,Category_A,PENDING,730.18,4893
2020-01-07,401.77,7249,Category_D,PENDING,545.51,2918
2020-01-08,855.77,4310,Category_E,ACTIVE,663.67,7311
2020-01-09,164.42,1847,Category_C,PENDING,610.33,4273
2020-01-10,888.68,904,Category_D,FAILED,782.11,1564
2020-01-02,286.33,8640,Category_E,FAILED,58.33,9669
2020-01-03,456.14,9328,Category_B,COMPLETED,987.23,8176
2020-01-04,839.78,6053,Category_A,FAILED,804.82,2700
2020-01-05,384.75,674,Category_A,FAILED,10.2,8154
2020-01-06,657.92,9423,Category_E,COMPLETED,555.81,5273
2020-01-07,231.42,1403,Category_C,FAILED,799.31,8658
2020-01-08,87.8,9895,Category_A,ACTIVE,686.03,5115
2020-01-09,200.19,5985,Category_D,COMPLETED,154.62,6345
2020-01-10,102.22,6643,Category_D,COMPLETED,998.9,7485
2020-01-02,282.04,3890,Category_A,ACTIVE,762.36,2190
2020-01-03,930.82,8462,Category_C,PENDING,151.49,2798
2020-01-04,545.81,4487,Category_B,PENDING,571.3,724
2020-01-05,817.86,3374,Category_B,PENDING,126.76,3099
2020-01-06,876.77,139,Category_D,COMPLETED,301.23,560
2020-01-07,114.36,9085,Category_B,PENDING,204.65,5644
2020-01-08,635.01,818,Category_B,PENDING,677.86,3091
2020-01-09,509.36,9267,Category_A,PENDING,240.99,3388
2020-01-10,59.44,1547,Category_A,COMPLETED,308.86,5109
2020-01-02,226.91,8491,Category_A,FAILED,730.64,3137
2020-01-03,577.17,6173,Category_A,PENDING,741.51,2256
2020-01-04,554.75,3926,Category_D,PENDING,593.27,96
2020-01-05,403.58,9102,Category_D,FAILED,56.29,2121
2020-01-06,814.93,7532,Category_E,COMPLETED,940.8,5063
2020-01-07,369.08,2420,Category_D,PENDING,780.39,1330
2020-01-08,960.27,3976,Category_E,COMPLETED,529.42,1211
2020-01-09,709.31,8082,Category_D,COMPLETED,819.15,5399
2020-01-10,56.14,6315,Category_C,PENDING,958.18,9131
2020-01-02,85.93,2568,Category_D,ACTIVE,472.07,3905
2020-01-03,991.01,8181,Category_E,COMPLETED,839.08,2273
2020-01-04,169.26,5424,Category_D,COMPLETED,849.73,5952
2020-01-05,417.63,6625,Category_D,ACTIVE,360.71,7211
2020-01-06,542.92,3778,Category_E,ACTIVE,438.93,5024
2020-01-07,116.34,6245,Category_C,FAILED,709.49,942
2020-01-08,808.46,8763,Category_D,PENDING,504.48,1085
2020-01-09,923.72,5659,Category_C,COMPLETED,429.91,5584
2020-01-10,447.73,1068,Category_B,ACTIVE,563.98,9634
2020-01-02,166.38,1125,Category_B,FAILED,283.44,321
2020-01-03,259.48,699,Category_A,COMPLETED,352.99,271
2020-01-04,327.63,2970,Category_C,COMPLETED,272.34,7549
2020-01-05,520.62,1841,Category_B,ACTIVE,361.46,7662
2020-01-06,748.54,5659,Category_D,FAILED,95.68,7848
2020-01-07,53.67,8295,Category_E,ACTIVE,348.14,3959
2020-01-08,462.57,7627,Category_A,COMPLETED,130.23,6186
2020-01-09,607.83,3929,Category_D,FAILED,956.59,1877
2020-01-10,735.66,3036,Category_E,PENDING,380.31,826
2020-01-02,396.78,8998,Category_D,ACTIVE,964.91,1606
2020-01-03,636.84,2435,Category_C,ACTIVE,625.3,8441
2020-01-04,745.13,3551,Category_A,PENDING,564.24,373
2020-01-05,401.57,2540,Category_D,FAILED,620.7,6352
2020-01-06,695.42,9347,Category_E,ACTIVE,165.04,4409
2020-01-07,762.23,8004,Category_C,COMPLETED,971.96,6929
2020-01-08,291.36,184,Category_B,PENDING,698.71,9252
2020-01-09,944.58,163,Category_D,PENDING,415.32,4376
2020-01-10,593.61,4822,Category_E,ACTIVE,436.52,451
2020-01-02,349.56,4782,Category_D,COMPLETED,769.28,1282
2020-01-03,818.99,4650,Category_E,FAILED,781.45,1445
2020-01-04,448.4,5546,Category_B,COMPLETED,783.02,3669
2020-01-05,709.3,4374,Category_E,FAILED,660.39,8930
2020-01-06,706.89,5297,Category_C,FAILED,106.85,2149
2020-01-07,396.17,8158,Category_A,PENDING,843.07,5584
