date,field_1,field_4,field_5,field_8,field_11,field_29
2021-01-02,972.81,PENDING,161.72,PENDING,Category_C,350.97
2021-01-03,782.04,ACTIVE,122.96,PENDING,Category_C,556.49
2021-01-04,329.11,ACTIVE,447.13,COMPLETED,Category_D,709.02
2021-01-05,74.49,COMPLETED,492.34,ACTIVE,Category_D,625.14
2021-01-06,360.28,FAILED,568.88,ACTIVE,Category_C,204.67
2021-01-07,432.11,FAILED,613.28,FAILED,Category_C,345.6
2021-01-08,88.75,ACTIVE,861.65,ACTIVE,Category_B,805.82
2021-01-09,542.58,ACTIVE,405.6,FAILED,Category_C,614.89
2021-01-10,227.28,FAILED,944.23,FAILED,Category_E,253.29
2021-01-02,464.3,ACTIVE,718.54,FAILED,Category_D,571.78
2021-01-03,455.49,FAILED,636.04,ACTIVE,Category_D,513.36
2021-01-04,996.15,COMPLETED,973.44,FAILED,Category_A,497.87
2021-01-05,748.31,FAILED,892.33,FAILED,Category_B,78.57
2021-01-06,301.2,COMPLETED,681.69,COMPLETED,Category_A,430.89
2021-01-07,805.31,COMPLETED,920.93,COMPLETED,Category_C,297.7
2021-01-08,397.05,PENDING,271.08,COMPLETED,Category_A,394.76
2021-01-09,892.92,COMPLETED,904.49,FAILED,Category_B,635.73
2021-01-10,590.4,PENDING,368.12,COMPLETED,Category_C,477.37
2021-01-02,174.65,ACTIVE,934.34,FAILED,Category_A,169.63
2021-01-03,879.24,FAILED,876.39,FAILED,Category_D,824.77
2021-01-04,700.52,PENDING,535.59,FAILED,Category_A,75.98
2021-01-05,877.39,COMPLETED,623.39,ACTIVE,Category_A,272.79
2021-01-06,351.75,PENDING,420.75,PENDING,Category_A,26.93
2021-01-07,361.71,FAILED,739.16,COMPLETED,Category_A,653.38
2021-01-08,519.05,ACTIVE,502.77,COMPLETED,Category_E,468.34
2021-01-09,635.33,PENDING,853.57,FAILED,Category_E,223.69
2021-01-10,212.23,FAILED,977.86,FAILED,Category_C,823.34
2021-01-02,787.08,COMPLETED,900.07,ACTIVE,Category_B,405.53
2021-01-03,128.74,COMPLETED,712.41,COMPLETED,Category_C,825.9
2021-01-04,133.09,ACTIVE,843.32,ACTIVE,Category_C,850.33
2021-01-05,924.72,FAILED,831.61,PENDING,Category_A,346.93
2021-01-06,664.61,ACTIVE,363.56,ACTIVE,Category_C,941.23
2021-01-07,18.82,ACTIVE,149.43,FAILED,Category_D,550.66
2021-01-08,700.16,ACTIVE,478.63,PENDING,Category_B,137.38
2021-01-09,915.77,COMPLETED,432.79,ACTIVE,Category_B,806.52
2021-01-10,991.65,ACTIVE,159.73,COMPLETED,Category_A,647.68
2021-01-02,603.83,FAILED,841.47,FAILED,Category_B,196.0
